词语 单音节词比例 双音节词比例 三音节词比例 四音节词比例 词汇密度 平均句长 平均小句长 句子破碎度 句子离散度 修饰词与动词比 成语比例 歇后语占比 甲级词比例 乙级词比例 丙级词比例 丁级词比例 合偶词比例 嵌偶词比例 古语功能词比例
庶几 0.5673366297499145 0.18700217756263335 0.01224759232953081 0.0030862837924854987 0.619552247622399 24.01925337791674 7.694207494187559 3.1142416182761066 13.31612982120894 0.593550745271036 0.0013563817455227959 0.002601162372277976 0.33378748811448966 0.20856475105166308 0.13659313251166327 0.11136079005928706 0.009001594011860643 0.09839437690353764 0.030146790520971085
庶人 0.5849500700976017 0.16893644756738915 0.013333335644825813 0.0019257310207588182 0.6161327159156151 50.60633711818622 35.947961660995006 3.0600335342687908 12.80832185617769 0.576224056406181 0.0004763652068373467 0.0017969944254140912 0.3201501991001397 0.20349743746167934 0.13377467084836203 0.11416327147415681 0.003509587224739469 0.09371453550146472 0.029099659617233292
陂 0.5411787674157406 0.18122205180980364 0.018854974206109553 0.004963887777904478 0.6293750913231475 22.207529349040172 7.558683308403009 2.96763114661014 14.140394543511123 0.5145560201985222 0.00032621742112482854 0.0022561582417623934 0.29626039779387914 0.1941874939588266 0.11955023618191035 0.10329050636685645 0.005766006564061927 0.08458433870080276 0.0210285004127423
赡 0.5751643305203927 0.18087595036962967 0.014279116993485587 0.0032489982193828083 0.6248326540259135 33.62173841953156 16.805526921271564 3.272581056608742 14.307640923253373 0.5611295408374768 0.0008546335477874994 0.002370974357113631 0.3163811263509111 0.2097196707301549 0.13692072252077525 0.11209265648659728 0.008408956288693701 0.0954498950390268 0.02645515977749204
扈 0.5752590536669735 0.1602414586593959 0.018702782515922837 0.004762497685600903 0.6280017823948992 21.519074584434737 7.7926646079950705 2.776972354904603 13.081094186555395 0.48351696332037625 0.0003917776544580096 0.0016136942592341952 0.2998600928520683 0.2012095795201448 0.12135323514495272 0.10803771593303106 0.004485999666383849 0.088804858737448 0.020198288891251935
陛 0.614128527983028 0.14119805002799365 0.012127490990234514 0.0016018436346734689 0.6102879108443955 22.82961212940255 7.3978584072002445 3.119474415392868 12.697968183116977 0.4668663615513529 0.00036497111302052714 0.0020694129083869287 0.3093303294354901 0.2143112095359865 0.12764439090317542 0.11006166275350582 0.005845988246717485 0.0971012026365548 0.02180629927092538
馔 0.6094357969715483 0.14066874627672044 0.009929447137633522 0.0016725934799368856 0.6059859413267425 23.233961632065803 6.859989454206938 3.3923923554870954 12.588673226498234 0.5282672880233511 0.0006747458010092642 0.0020738185201065328 0.30878950996476023 0.22278262963090878 0.12066519524844488 0.10233255925704966 0.00546610266758615 0.09523500725673348 0.015979888130080062
钤 0.5629930827734626 0.1777563836410777 0.025831419199885842 0.00588203904138414 0.640299582398293 33.167049550411996 7.613572589674204 3.3729760052060063 12.80258201019816 0.44700088801522425 0.00037640951073693904 0.001900530359150087 0.29479131729374686 0.20071124345160019 0.11773878466706489 0.11122631043357539 0.00678064849343045 0.09893394613570752 0.0204088268927442
诘 0.5739956564979797 0.17809326500489814 0.015975884631807883 0.0029779155853518345 0.6300558338581075 23.79138622888018 7.516808877283991 3.1543195705257348 13.26373858687782 0.48267654523106046 0.0008864066193853429 0.0018116831805391612 0.308707191504195 0.21076531240232443 0.125292838260123 0.11302512851693798 0.007273482553436007 0.1002607319479396 0.022674735762580663
已而 0.6027535310162597 0.16298901200520596 0.013033968985595208 0.0019467628973321768 0.627716224538082 49.89317052517776 35.814537330832316 2.9314932130116165 11.44269591236741 0.5497783909986943 0.000370543068791182 0.001526496338286591 0.32509444675661503 0.21474785570836452 0.13641923275802062 0.12088772942495624 0.004054231989246604 0.10341136436988864 0.029609991239198448
